s,p,o
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://www.wikidata.org/prop/statement/P213,"""0000 0001 0798 0513"" ."
http://www.wikidata.org/entity/statement/q14990-707D7C17-68F0-41A4-9A52-A1A1ABEDEF72,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/9a35e58d096248d4e691ec174537c3f6d9b72b56
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P244,http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.wikidata.org/prop/statement/P244,"""n90616027"" ."
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.wikidata.org/prop/statement/value-normalized/P244,http://id.loc.gov/authorities/names/n90616027
http://www.wikidata.org/entity/statement/q14990-C13330D0-D4CE-4DC6-85B0-915C0BA4CAF0,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/9a24f7c0208b05d6be97077d855671d1dfdbc0dd
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P227,http://www.wikidata.org/entity/statement/q14990-8EA0B1CE-D3C3-42C5-80F3-7246F77023B5
http://www.wikidata.org/entity/statement/q14990-8EA0B1CE-D3C3-42C5-80F3-7246F77023B5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-8EA0B1CE-D3C3-42C5-80F3-7246F77023B5,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-8EA0B1CE-D3C3-42C5-80F3-7246F77023B5,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-8EA0B1CE-D3C3-42C5-80F3-7246F77023B5,http://www.wikidata.org/prop/statement/P227,"""123556082"" ."
http://www.wikidata.org/entity/statement/q14990-8EA0B1CE-D3C3-42C5-80F3-7246F77023B5,http://www.wikidata.org/prop/statement/value-normalized/P227,http://d-nb.info/gnd/123556082
http://www.wikidata.org/entity/statement/q14990-8EA0B1CE-D3C3-42C5-80F3-7246F77023B5,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/9a24f7c0208b05d6be97077d855671d1dfdbc0dd
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P27,http://www.wikidata.org/entity/statement/q14990-60BE10D0-69A1-46FB-9042-262DC30998DB
http://www.wikidata.org/entity/statement/q14990-60BE10D0-69A1-46FB-9042-262DC30998DB,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-60BE10D0-69A1-46FB-9042-262DC30998DB,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-60BE10D0-69A1-46FB-9042-262DC30998DB,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-60BE10D0-69A1-46FB-9042-262DC30998DB,http://www.wikidata.org/prop/statement/P27,http://www.wikidata.org/entity/Q31
http://www.wikidata.org/entity/statement/q14990-60BE10D0-69A1-46FB-9042-262DC30998DB,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/9a24f7c0208b05d6be97077d855671d1dfdbc0dd
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P373,http://www.wikidata.org/entity/statement/q14990-D9A949DC-1FF9-4823-9DB4-2D27A0F1130E
http://www.wikidata.org/entity/statement/q14990-D9A949DC-1FF9-4823-9DB4-2D27A0F1130E,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-D9A949DC-1FF9-4823-9DB4-2D27A0F1130E,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
http://www.wikidata.org/entity/statement/q14990-D9A949DC-1FF9-4823-9DB4-2D27A0F1130E,http://wikiba.se/ontology-beta#rank,http://wikiba.se/ontology-beta#NormalRank
http://www.wikidata.org/entity/statement/q14990-D9A949DC-1FF9-4823-9DB4-2D27A0F1130E,http://www.wikidata.org/prop/statement/P373,"""Henri Carton de Wiart"" ."
http://www.wikidata.org/entity/statement/q14990-D9A949DC-1FF9-4823-9DB4-2D27A0F1130E,http://www.w3.org/ns/prov#wasDerivedFrom,http://www.wikidata.org/reference/e71a7903858496c67eea189a7084d5559f788edb
http://www.wikidata.org/entity/Q14990,http://www.wikidata.org/prop/P569,http://www.wikidata.org/entity/statement/q14990-83593737-8B63-49FC-BFB3-D9FE6753F0C3
http://www.wikidata.org/entity/statement/q14990-83593737-8B63-49FC-BFB3-D9FE6753F0C3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#Statement
http://www.wikidata.org/entity/statement/q14990-83593737-8B63-49FC-BFB3-D9FE6753F0C3,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://wikiba.se/ontology-beta#BestRank
